home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result,home_rolling_points_last5,away_rolling_points_last5,home_rolling_points_last10,away_rolling_points_last10,home_gd_trend_last5,away_gd_trend_last5,travel_distance_km,home_squad_value,away_squad_value,squad_value_ratio
Maritzburg United,Marumo Gallants,1.0,0.0,FINISHED,2021-09-22,1297502,Matchday 4,2021-2022,1297502,H,3.0,1.0,3.0,1.0,-0.6666666666666666,-1.0,405.2090684317437,,2930000.0,
Golden Arrows,AmaZulu,2.0,2.0,FINISHED,2021-09-22,1297504,Matchday 4,2021-2022,1297504,D,4.0,2.0,4.0,2.0,-0.3333333333333333,-0.3333333333333333,20.109034086532077,6830000.0,10880000.0,0.6277573529411765
Swallows FC,Cape Town City,0.0,0.0,FINISHED,2021-09-24,1297550,Matchday 5,2021-2022,1297550,D,4.0,4.0,4.0,4.0,-0.75,-0.6666666666666666,1246.3111609025605,,,
Sekhukhune United,Golden Arrows,1.0,1.0,FINISHED,2021-09-25,1297553,Matchday 5,2021-2022,1297553,D,4.0,5.0,4.0,5.0,0.0,-0.25,686.9395752773827,9700000.0,6830000.0,1.4202049780380674
Stellenbosch,Chippa United,2.0,1.0,FINISHED,2021-09-25,1297552,Matchday 5,2021-2022,1297552,H,8.0,4.0,8.0,4.0,1.0,-0.5,843.8903781142693,6080000.0,5180000.0,1.1737451737451738
Orlando Pirates,Mamelodi Sundowns,0.0,2.0,FINISHED,2021-09-25,1297555,Matchday 5,2021-2022,1297555,A,8.0,10.0,8.0,10.0,0.75,1.5,61.05551098911179,22330000.0,40400000.0,0.5527227722772278
AmaZulu,Baroka FC,1.0,0.0,FINISHED,2021-09-25,1297556,Matchday 5,2021-2022,1297556,H,3.0,6.0,3.0,6.0,-0.25,0.25,674.5546298160202,10880000.0,,
Siwelele,Maritzburg United,2.0,1.0,FINISHED,2021-09-25,1297554,Matchday 5,2021-2022,1297554,H,8.0,6.0,8.0,6.0,1.25,-0.25,405.2090684317437,5250000.0,,
Royal AM,TS Galaxy,4.0,2.0,FINISHED,2021-09-26,1297551,Matchday 5,2021-2022,1297551,H,6.0,2.0,6.0,2.0,0.5,-1.0,494.69623894305175,,3680000.0,
Marumo Gallants,Kaizer Chiefs,0.0,0.0,FINISHED,2021-09-26,1297549,Matchday 5,2021-2022,1297549,D,1.0,4.0,1.0,4.0,-1.0,-1.0,369.4351841819827,2930000.0,16230000.0,0.18052988293284042
AmaZulu,Kaizer Chiefs,1.0,1.0,FINISHED,2021-10-02,1297548,Matchday 6,2021-2022,1297548,D,6.0,5.0,6.0,5.0,0.0,-0.8,499.21680619064676,10880000.0,16230000.0,0.6703635243376463
Cape Town City,Orlando Pirates,1.0,1.0,FINISHED,2021-10-02,1297527,Matchday 6,2021-2022,1297527,D,5.0,8.0,5.0,8.0,-0.5,0.2,1250.0122779478036,,22330000.0,
Chippa United,Siwelele,0.0,0.0,FINISHED,2021-10-02,1297547,Matchday 6,2021-2022,1297547,D,4.0,11.0,4.0,11.0,-0.6,1.2,454.90581570858905,5180000.0,5250000.0,0.9866666666666667
Baroka FC,Stellenbosch,1.0,1.0,FINISHED,2021-10-02,1297544,Matchday 6,2021-2022,1297544,D,6.0,11.0,6.0,11.0,0.0,1.0,1515.6973046794312,,6080000.0,
TS Galaxy,Sekhukhune United,0.0,1.0,FINISHED,2021-10-02,1297546,Matchday 6,2021-2022,1297546,A,2.0,5.0,2.0,5.0,-1.2,0.0,225.8571765261528,3680000.0,9700000.0,0.37938144329896906
Mamelodi Sundowns,Swallows FC,3.0,0.0,FINISHED,2021-10-03,1297541,Matchday 6,2021-2022,1297541,H,13.0,5.0,13.0,5.0,1.6,-0.6,63.657616911651566,40400000.0,,
Golden Arrows,Marumo Gallants,3.0,1.0,FINISHED,2021-10-03,1297542,Matchday 6,2021-2022,1297542,H,6.0,2.0,6.0,2.0,-0.2,-0.75,459.8354704753759,6830000.0,2930000.0,2.3310580204778155
Royal AM,Maritzburg United,2.0,1.0,FINISHED,2021-10-03,1297498,Matchday 6,2021-2022,1297498,H,9.0,6.0,9.0,6.0,0.8,-0.4,57.590665404614626,,,
Sekhukhune United,Cape Town City,1.0,0.0,FINISHED,2021-10-16,1297540,Matchday 7,2021-2022,1297540,H,8.0,6.0,8.0,6.0,0.4,-0.4,1543.6679540867367,9700000.0,,
Siwelele,Baroka FC,2.0,0.0,FINISHED,2021-10-16,1297537,Matchday 7,2021-2022,1297537,H,11.0,4.0,12.0,7.0,1.2,-0.4,666.410273920029,5250000.0,,
Kaizer Chiefs,Chippa United,4.0,0.0,FINISHED,2021-10-16,1297536,Matchday 7,2021-2022,1297536,H,5.0,2.0,6.0,5.0,-0.8,-0.8,753.05841286102,16230000.0,5180000.0,3.1332046332046333
Swallows FC,Stellenbosch,1.0,1.0,FINISHED,2021-10-17,1297534,Matchday 7,2021-2022,1297534,D,2.0,11.0,5.0,12.0,-1.4,1.0,1217.1029445092097,,6080000.0,
Marumo Gallants,Royal AM,2.0,2.0,FINISHED,2021-10-19,1297539,Matchday 7,2021-2022,1297539,D,2.0,12.0,2.0,12.0,-1.0,1.2,456.58950795785546,2930000.0,,
TS Galaxy,AmaZulu,0.0,1.0,FINISHED,2021-10-19,1297535,Matchday 7,2021-2022,1297535,A,1.0,7.0,2.0,7.0,-1.4,0.2,485.7237565219576,3680000.0,10880000.0,0.3382352941176471
Golden Arrows,Mamelodi Sundowns,0.0,1.0,FINISHED,2021-10-20,1297538,Matchday 7,2021-2022,1297538,A,6.0,13.0,9.0,16.0,0.0,2.0,537.6085491295763,6830000.0,40400000.0,0.16905940594059407
Maritzburg United,Orlando Pirates,0.0,0.0,FINISHED,2021-10-20,1297533,Matchday 7,2021-2022,1297533,D,6.0,8.0,6.0,9.0,-0.4,0.2,447.4634267755237,,22330000.0,
Maritzburg United,TS Galaxy,1.0,0.0,FINISHED,2021-10-23,1297545,Matchday 8,2021-2022,1297545,H,7.0,1.0,7.0,2.0,0.0,-1.4,465.17582843530124,,3680000.0,
Cape Town City,Golden Arrows,4.0,3.0,FINISHED,2021-10-23,1297500,Matchday 8,2021-2022,1297500,H,5.0,6.0,6.0,9.0,-0.6,0.2,1255.9775933974524,,6830000.0,
Chippa United,Swallows FC,0.0,0.0,FINISHED,2021-10-24,1297466,Matchday 8,2021-2022,1297466,D,1.0,2.0,5.0,6.0,-1.6,-1.4,753.9476134361341,5180000.0,,
Siwelele,Kaizer Chiefs,1.0,2.0,FINISHED,2021-10-24,1297465,Matchday 8,2021-2022,1297465,A,11.0,5.0,15.0,9.0,1.2,-0.2,369.4351841819827,5250000.0,16230000.0,0.3234750462107209
Stellenbosch,Marumo Gallants,1.0,0.0,FINISHED,2021-10-27,1297530,Matchday 8,2021-2022,1297530,H,9.0,3.0,13.0,3.0,0.8,-0.6,875.4385978904638,6080000.0,2930000.0,2.0750853242320817
Sekhukhune United,AmaZulu,2.0,0.0,FINISHED,2021-10-27,1297531,Matchday 8,2021-2022,1297531,H,8.0,9.0,11.0,10.0,0.2,0.4,674.5546298160202,9700000.0,10880000.0,0.8915441176470589
Orlando Pirates,Royal AM,1.0,1.0,FINISHED,2021-10-28,1297532,Matchday 8,2021-2022,1297532,D,8.0,13.0,10.0,13.0,0.2,1.4,501.29312065190766,22330000.0,,
Kaizer Chiefs,Stellenbosch,0.0,1.0,FINISHED,2021-11-02,1297464,Matchday 9,2021-2022,1297464,A,8.0,11.0,12.0,16.0,0.4,1.0,1224.541902196886,16230000.0,6080000.0,2.669407894736842
TS Galaxy,Baroka FC,2.0,1.0,FINISHED,2021-11-02,1297460,Matchday 9,2021-2022,1297460,H,0.0,4.0,2.0,7.0,-1.6,-0.6,225.8571765261528,3680000.0,,
Golden Arrows,Swallows FC,0.0,0.0,FINISHED,2021-11-02,1297462,Matchday 9,2021-2022,1297462,D,5.0,3.0,9.0,7.0,0.0,-1.2,511.70852376551466,6830000.0,,
Orlando Pirates,Sekhukhune United,2.0,1.0,FINISHED,2021-11-02,1297461,Matchday 9,2021-2022,1297461,H,6.0,10.0,11.0,14.0,0.0,0.6,300.02049415232636,22330000.0,9700000.0,2.302061855670103
Royal AM,Siwelele,2.0,1.0,FINISHED,2021-11-02,1297459,Matchday 9,2021-2022,1297459,H,11.0,10.0,14.0,15.0,1.2,1.0,456.58950795785546,,5250000.0,
Cape Town City,Chippa United,1.0,0.0,FINISHED,2021-11-03,1297463,Matchday 9,2021-2022,1297463,H,5.0,2.0,9.0,6.0,-0.6,-1.4,886.1355341470515,,5180000.0,
Mamelodi Sundowns,Maritzburg United,1.0,0.0,FINISHED,2021-11-03,1297457,Matchday 9,2021-2022,1297457,H,15.0,7.0,19.0,10.0,2.2,0.0,479.5155820947601,40400000.0,,
AmaZulu,Marumo Gallants,0.0,0.0,FINISHED,2021-11-04,1297458,Matchday 9,2021-2022,1297458,D,8.0,2.0,10.0,3.0,0.0,-0.8,469.9550370235814,10880000.0,2930000.0,3.7133105802047783
Siwelele,TS Galaxy,2.0,1.0,FINISHED,2021-11-05,1297456,Matchday 10,2021-2022,1297456,H,7.0,3.0,15.0,5.0,0.2,-0.8,620.8932044419288,5250000.0,3680000.0,1.4266304347826086
Kaizer Chiefs,Orlando Pirates,2.0,1.0,FINISHED,2021-11-06,1297468,Matchday 10,2021-2022,1297468,H,8.0,6.0,12.0,14.0,0.8,-0.2,5.978268699146683,16230000.0,22330000.0,0.7268248992386923
Stellenbosch,Golden Arrows,0.0,0.0,FINISHED,2021-11-06,1297469,Matchday 10,2021-2022,1297469,D,11.0,5.0,19.0,10.0,0.6,0.0,1216.5174700019006,6080000.0,6830000.0,0.890190336749634
Marumo Gallants,Mamelodi Sundowns,0.0,4.0,FINISHED,2021-11-07,1297451,Matchday 10,2021-2022,1297451,A,3.0,15.0,4.0,22.0,-0.6,2.0,428.0130608722853,2930000.0,40400000.0,0.07252475247524752
AmaZulu,Cape Town City,2.0,0.0,FINISHED,2021-11-07,1297454,Matchday 10,2021-2022,1297454,H,8.0,8.0,11.0,12.0,0.0,0.2,1273.874589325814,10880000.0,,
Chippa United,Maritzburg United,0.0,0.0,FINISHED,2021-11-07,1297449,Matchday 10,2021-2022,1297449,D,2.0,4.0,6.0,10.0,-1.2,-0.4,444.41902552001244,5180000.0,,
Royal AM,Baroka FC,1.0,1.0,FINISHED,2021-11-07,1297452,Matchday 10,2021-2022,1297452,D,11.0,4.0,17.0,7.0,0.8,-0.6,680.0544179606063,,,
Swallows FC,Sekhukhune United,0.0,1.0,FINISHED,2021-11-07,1297450,Matchday 10,2021-2022,1297450,A,4.0,10.0,8.0,14.0,-0.6,0.6,302.63946401845453,,9700000.0,
Golden Arrows,Orlando Pirates,0.0,0.0,FINISHED,2021-11-20,1297446,Matchday 11,2021-2022,1297446,D,5.0,6.0,11.0,14.0,0.0,0.0,507.8973058318857,6830000.0,22330000.0,0.3058665472458576
Stellenbosch,AmaZulu,2.0,2.0,FINISHED,2021-11-20,1297448,Matchday 11,2021-2022,1297448,D,9.0,8.0,20.0,14.0,0.4,0.2,1234.5377123884953,6080000.0,10880000.0,0.5588235294117647
Siwelele,Marumo Gallants,1.0,2.0,FINISHED,2021-11-20,1297445,Matchday 11,2021-2022,1297445,A,7.0,2.0,18.0,4.0,0.2,-1.4,0.0,5250000.0,2930000.0,1.7918088737201365
Baroka FC,Chippa United,0.0,1.0,FINISHED,2021-11-20,1297443,Matchday 11,2021-2022,1297443,A,2.0,3.0,8.0,7.0,-0.8,-1.0,1021.3060443774077,,5180000.0,
Cape Town City,Mamelodi Sundowns,0.0,0.0,FINISHED,2021-11-20,1297444,Matchday 11,2021-2022,1297444,D,7.0,15.0,12.0,25.0,-0.2,2.2,1309.0092023555278,,40400000.0,
Sekhukhune United,Royal AM,1.0,0.0,FINISHED,2021-11-20,1297447,Matchday 11,2021-2022,1297447,H,12.0,9.0,17.0,18.0,0.8,0.4,680.0544179606063,9700000.0,,
TS Galaxy,Swallows FC,1.0,0.0,FINISHED,2021-11-21,1297442,Matchday 11,2021-2022,1297442,H,3.0,3.0,5.0,8.0,-0.6,-0.8,318.34667513138703,3680000.0,,
Maritzburg United,Kaizer Chiefs,0.0,1.0,FINISHED,2021-11-21,1297441,Matchday 11,2021-2022,1297441,A,5.0,10.0,11.0,15.0,-0.2,1.0,444.0310716749285,,16230000.0,
Stellenbosch,Orlando Pirates,0.0,3.0,FINISHED,2021-11-24,1297623,Matchday 19,2021-2022,1297623,A,9.0,6.0,20.0,14.0,0.4,0.0,1220.6858842275062,6080000.0,22330000.0,0.2722794446932378
Marumo Gallants,Maritzburg United,0.0,0.0,FINISHED,2021-11-24,1297624,Matchday 19,2021-2022,1297624,D,5.0,5.0,7.0,11.0,-0.8,-0.2,405.2090684317437,2930000.0,,
Kaizer Chiefs,AmaZulu,1.0,1.0,FINISHED,2021-11-24,1297621,Matchday 19,2021-2022,1297621,D,12.0,8.0,17.0,15.0,1.2,0.2,499.21680619064676,16230000.0,10880000.0,1.4917279411764706
