home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Orlando Pirates,TS Galaxy,,,UPCOMING,18/10/2026,21920191,Matchday 8,2026-2027
Marumo Gallants,Siwelele FC,,,UPCOMING,30/10/2026,21920054,Matchday 9,2026-2027
Stellenbosch,Chippa United FC,,,UPCOMING,30/10/2026,21920007,Matchday 9,2026-2027
Orlando Pirates,Kaizer Chiefs,,,UPCOMING,31/10/2026,21920178,Matchday 9,2026-2027
AmaZulu FC,Golden Arrows,,,UPCOMING,31/10/2026,21920063,Matchday 9,2026-2027
Polokwane City,TS Galaxy,,,UPCOMING,31/10/2026,21920114,Matchday 9,2026-2027
Kruger United,Richards Bay,,,UPCOMING,31/10/2026,21920071,Matchday 9,2026-2027
Mamelodi Sundowns,Durban City FC,,,UPCOMING,01/11/2026,21920118,Matchday 9,2026-2027
Milford FC,Sekhukhune United,,,UPCOMING,01/11/2026,21920217,Matchday 9,2026-2027
Mamelodi Sundowns,Milford FC,2,0,FINISHED,02/09/2026,21920095,Matchday 10,2026-2027
Siwelele FC,Orlando Pirates,,,UPCOMING,04/11/2026,21920214,Matchday 10,2026-2027
Chippa United FC,Sekhukhune United,,,UPCOMING,04/11/2026,21920043,Matchday 10,2026-2027
Polokwane City,Kruger United,,,UPCOMING,04/11/2026,21920212,Matchday 10,2026-2027
Golden Arrows,Marumo Gallants,,,UPCOMING,04/11/2026,21920098,Matchday 10,2026-2027
Kaizer Chiefs,AmaZulu FC,,,UPCOMING,04/11/2026,21920086,Matchday 10,2026-2027
TS Galaxy,Durban City FC,,,UPCOMING,04/11/2026,21920065,Matchday 10,2026-2027
Richards Bay,Stellenbosch,,,UPCOMING,04/11/2026,21920019,Matchday 10,2026-2027
Stellenbosch,TS Galaxy,,,UPCOMING,27/11/2026,21920030,Matchday 11,2026-2027
Durban City FC,Polokwane City,,,UPCOMING,27/11/2026,21920022,Matchday 11,2026-2027
Chippa United FC,Kaizer Chiefs,,,UPCOMING,28/11/2026,21920083,Matchday 11,2026-2027
AmaZulu FC,Milford FC,,,UPCOMING,28/11/2026,21920237,Matchday 11,2026-2027
Orlando Pirates,Golden Arrows,,,UPCOMING,28/11/2026,21920110,Matchday 11,2026-2027
Kruger United,Mamelodi Sundowns,,,UPCOMING,28/11/2026,21920053,Matchday 11,2026-2027
Marumo Gallants,Richards Bay,,,UPCOMING,29/11/2026,21920168,Matchday 11,2026-2027
Sekhukhune United,Siwelele FC,,,UPCOMING,29/11/2026,21920010,Matchday 11,2026-2027
Marumo Gallants,Chippa United FC,,,UPCOMING,04/12/2026,21920194,Matchday 12,2026-2027
Golden Arrows,Kruger United,,,UPCOMING,05/12/2026,21920040,Matchday 12,2026-2027
Orlando Pirates,Stellenbosch,,,UPCOMING,05/12/2026,21920127,Matchday 12,2026-2027
Mamelodi Sundowns,Polokwane City,,,UPCOMING,05/12/2026,21920032,Matchday 12,2026-2027
Sekhukhune United,AmaZulu FC,,,UPCOMING,05/12/2026,21920139,Matchday 12,2026-2027
Milford FC,Kaizer Chiefs,,,UPCOMING,05/12/2026,21920129,Matchday 12,2026-2027
Siwelele FC,Durban City FC,,,UPCOMING,06/12/2026,21920229,Matchday 12,2026-2027
TS Galaxy,Richards Bay,,,UPCOMING,06/12/2026,21920073,Matchday 12,2026-2027
Stellenbosch,Milford FC,,,UPCOMING,15/12/2026,21920060,Matchday 13,2026-2027
Chippa United FC,AmaZulu FC,,,UPCOMING,15/12/2026,21920169,Matchday 13,2026-2027
Kruger United,Siwelele FC,,,UPCOMING,15/12/2026,21920008,Matchday 13,2026-2027
Kaizer Chiefs,TS Galaxy,,,UPCOMING,15/12/2026,21920119,Matchday 13,2026-2027
Mamelodi Sundowns,Sekhukhune United,,,UPCOMING,15/12/2026,21920014,Matchday 13,2026-2027
Durban City FC,Marumo Gallants,,,UPCOMING,15/12/2026,21920049,Matchday 13,2026-2027
Richards Bay,Orlando Pirates,,,UPCOMING,16/12/2026,21920069,Matchday 13,2026-2027
Polokwane City,Golden Arrows,,,UPCOMING,16/12/2026,21920204,Matchday 13,2026-2027
Stellenbosch,Mamelodi Sundowns,,,UPCOMING,18/12/2026,21920189,Matchday 14,2026-2027
Marumo Gallants,Kaizer Chiefs,,,UPCOMING,19/12/2026,21920070,Matchday 14,2026-2027
Sekhukhune United,Golden Arrows,,,UPCOMING,19/12/2026,21920207,Matchday 14,2026-2027
AmaZulu FC,Kruger United,,,UPCOMING,19/12/2026,21920011,Matchday 14,2026-2027
Orlando Pirates,Polokwane City,,,UPCOMING,19/12/2026,21920157,Matchday 14,2026-2027
TS Galaxy,Milford FC,,,UPCOMING,20/12/2026,21920150,Matchday 14,2026-2027
Richards Bay,Siwelele FC,,,UPCOMING,20/12/2026,21920243,Matchday 14,2026-2027
Durban City FC,Chippa United FC,,,UPCOMING,20/12/2026,21920137,Matchday 14,2026-2027
Siwelele FC,Stellenbosch,,,UPCOMING,08/01/2027,21920057,Matchday 15,2026-2027
Polokwane City,Chippa United FC,,,UPCOMING,09/01/2027,21920038,Matchday 15,2026-2027
AmaZulu FC,TS Galaxy,,,UPCOMING,09/01/2027,21920108,Matchday 15,2026-2027
Golden Arrows,Richards Bay,,,UPCOMING,09/01/2027,21920134,Matchday 15,2026-2027
Mamelodi Sundowns,Orlando Pirates,,,UPCOMING,09/01/2027,21920062,Matchday 15,2026-2027
Milford FC,Marumo Gallants,,,UPCOMING,10/01/2027,21920091,Matchday 15,2026-2027
Kruger United,Sekhukhune United,,,UPCOMING,10/01/2027,21920042,Matchday 15,2026-2027
Kaizer Chiefs,Durban City FC,,,UPCOMING,10/01/2027,21920041,Matchday 15,2026-2027
Richards Bay,Durban City FC,,,UPCOMING,15/01/2027,21920020,Matchday 16,2026-2027
Stellenbosch,Polokwane City,,,UPCOMING,16/01/2027,21920056,Matchday 16,2026-2027
Kruger United,Marumo Gallants,,,UPCOMING,16/01/2027,21920033,Matchday 16,2026-2027
Orlando Pirates,AmaZulu FC,,,UPCOMING,16/01/2027,21920103,Matchday 16,2026-2027
Milford FC,Mamelodi Sundowns,,,UPCOMING,16/01/2027,21920218,Matchday 16,2026-2027
Sekhukhune United,Kaizer Chiefs,,,UPCOMING,16/01/2027,21920210,Matchday 16,2026-2027
TS Galaxy,Siwelele FC,,,UPCOMING,17/01/2027,21920078,Matchday 16,2026-2027
Chippa United FC,Golden Arrows,,,UPCOMING,17/01/2027,21920240,Matchday 16,2026-2027
AmaZulu FC,Stellenbosch,,,UPCOMING,22/01/2027,21920003,Matchday 17,2026-2027
Orlando Pirates,Kruger United,,,UPCOMING,22/01/2027,21920152,Matchday 17,2026-2027
Golden Arrows,Siwelele FC,,,UPCOMING,23/01/2027,21920075,Matchday 17,2026-2027
Mamelodi Sundowns,Richards Bay,,,UPCOMING,23/01/2027,21920068,Matchday 17,2026-2027
Kaizer Chiefs,Chippa United FC,,,UPCOMING,23/01/2027,21920016,Matchday 17,2026-2027
TS Galaxy,Polokwane City,,,UPCOMING,23/01/2027,21920136,Matchday 17,2026-2027
Durban City FC,Milford FC,,,UPCOMING,23/01/2027,21920037,Matchday 17,2026-2027
Marumo Gallants,Sekhukhune United,,,UPCOMING,24/01/2027,21920015,Matchday 17,2026-2027
Milford FC,AmaZulu FC,,,UPCOMING,05/02/2027,21920198,Matchday 18,2026-2027
Siwelele FC,Sekhukhune United,,,UPCOMING,06/02/2027,21920018,Matchday 18,2026-2027
Stellenbosch,Kruger United,,,UPCOMING,06/02/2027,21920035,Matchday 18,2026-2027
Polokwane City,Marumo Gallants,,,UPCOMING,06/02/2027,21920104,Matchday 18,2026-2027
Golden Arrows,Orlando Pirates,,,UPCOMING,06/02/2027,21920155,Matchday 18,2026-2027
Richards Bay,Chippa United FC,,,UPCOMING,07/02/2027,21920004,Matchday 18,2026-2027
Mamelodi Sundowns,Kaizer Chiefs,,,UPCOMING,07/02/2027,21920090,Matchday 18,2026-2027
Durban City FC,TS Galaxy,,,UPCOMING,07/02/2027,21920017,Matchday 18,2026-2027
Chippa United FC,TS Galaxy,,,UPCOMING,12/02/2027,21920239,Matchday 19,2026-2027
Milford FC,Golden Arrows,,,UPCOMING,13/02/2027,21920055,Matchday 19,2026-2027
AmaZulu FC,Kaizer Chiefs,,,UPCOMING,13/02/2027,21920064,Matchday 19,2026-2027
Stellenbosch,Richards Bay,,,UPCOMING,13/02/2027,21920162,Matchday 19,2026-2027
Orlando Pirates,Siwelele FC,,,UPCOMING,13/02/2027,21920092,Matchday 19,2026-2027
Marumo Gallants,Durban City FC,,,UPCOMING,13/02/2027,21920005,Matchday 19,2026-2027
Sekhukhune United,Mamelodi Sundowns,,,UPCOMING,14/02/2027,21920226,Matchday 19,2026-2027
Kruger United,Polokwane City,,,UPCOMING,14/02/2027,21920144,Matchday 19,2026-2027
Mamelodi Sundowns,Stellenbosch,,,UPCOMING,26/02/2027,21920072,Matchday 20,2026-2027
Durban City FC,Orlando Pirates,,,UPCOMING,26/02/2027,21920058,Matchday 20,2026-2027
TS Galaxy,Marumo Gallants,,,UPCOMING,27/02/2027,21920013,Matchday 20,2026-2027
Kaizer Chiefs,Polokwane City,,,UPCOMING,27/02/2027,21920093,Matchday 20,2026-2027
Siwelele FC,Milford FC,,,UPCOMING,27/02/2027,21920023,Matchday 20,2026-2027
Sekhukhune United,Chippa United FC,,,UPCOMING,27/02/2027,21920059,Matchday 20,2026-2027
Golden Arrows,AmaZulu FC,,,UPCOMING,28/02/2027,21920085,Matchday 20,2026-2027
Richards Bay,Kruger United,,,UPCOMING,28/02/2027,21920044,Matchday 20,2026-2027
Mamelodi Sundowns,Golden Arrows,,,UPCOMING,05/03/2027,21920026,Matchday 21,2026-2027
AmaZulu FC,Durban City FC,,,UPCOMING,06/03/2027,21920048,Matchday 21,2026-2027
Orlando Pirates,Chippa United FC,,,UPCOMING,06/03/2027,21920160,Matchday 21,2026-2027
Richards Bay,Marumo Gallants,,,UPCOMING,06/03/2027,21920082,Matchday 21,2026-2027
Kruger United,Milford FC,,,UPCOMING,06/03/2027,21920096,Matchday 21,2026-2027
Stellenbosch,Siwelele FC,,,UPCOMING,06/03/2027,21920107,Matchday 21,2026-2027
TS Galaxy,Kaizer Chiefs,,,UPCOMING,07/03/2027,21920028,Matchday 21,2026-2027
Polokwane City,Sekhukhune United,,,UPCOMING,07/03/2027,21920029,Matchday 21,2026-2027
AmaZulu FC,Polokwane City,,,UPCOMING,12/03/2027,21920009,Matchday 22,2026-2027
Siwelele FC,Richards Bay,,,UPCOMING,13/03/2027,21920021,Matchday 22,2026-2027
Milford FC,TS Galaxy,,,UPCOMING,13/03/2027,21920111,Matchday 22,2026-2027
Kruger United,Golden Arrows,,,UPCOMING,13/03/2027,21920094,Matchday 22,2026-2027
Sekhukhune United,Stellenbosch,,,UPCOMING,13/03/2027,21920089,Matchday 22,2026-2027
Chippa United FC,Durban City FC,,,UPCOMING,13/03/2027,21920039,Matchday 22,2026-2027
Kaizer Chiefs,Orlando Pirates,,,UPCOMING,14/03/2027,21920027,Matchday 22,2026-2027
Marumo Gallants,Mamelodi Sundowns,,,UPCOMING,14/03/2027,21920031,Matchday 22,2026-2027
Golden Arrows,TS Galaxy,,,UPCOMING,16/03/2027,21920142,Matchday 23,2026-2027
Durban City FC,Mamelodi Sundowns,,,UPCOMING,16/03/2027,21920087,Matchday 23,2026-2027
Chippa United FC,Marumo Gallants,,,UPCOMING,16/03/2027,21920077,Matchday 23,2026-2027
Sekhukhune United,Kruger United,,,UPCOMING,17/03/2027,21920006,Matchday 23,2026-2027
Stellenbosch,Kaizer Chiefs,,,UPCOMING,17/03/2027,21920025,Matchday 23,2026-2027
Siwelele FC,AmaZulu FC,,,UPCOMING,17/03/2027,21920154,Matchday 23,2026-2027
Milford FC,Polokwane City,,,UPCOMING,17/03/2027,21920149,Matchday 23,2026-2027
Orlando Pirates,Richards Bay,,,UPCOMING,17/03/2027,21920232,Matchday 23,2026-2027
Polokwane City,Siwelele FC,,,UPCOMING,09/04/2027,21920175,Matchday 24,2026-2027
Mamelodi Sundowns,Kruger United,,,UPCOMING,10/04/2027,21920209,Matchday 24,2026-2027
Kaizer Chiefs,Milford FC,,,UPCOMING,10/04/2027,21920106,Matchday 24,2026-2027
Marumo Gallants,Stellenbosch,,,UPCOMING,10/04/2027,21920179,Matchday 24,2026-2027
AmaZulu FC,Chippa United FC,,,UPCOMING,10/04/2027,21920143,Matchday 24,2026-2027
Durban City FC,Sekhukhune United,,,UPCOMING,10/04/2027,21920133,Matchday 24,2026-2027
Richards Bay,Golden Arrows,,,UPCOMING,11/04/2027,21920066,Matchday 24,2026-2027
TS Galaxy,Orlando Pirates,,,UPCOMING,11/04/2027,21920242,Matchday 24,2026-2027
Polokwane City,Durban City FC,,,UPCOMING,16/04/2027,21920131,Matchday 25,2026-2027
Sekhukhune United,Orlando Pirates,,,UPCOMING,17/04/2027,21920220,Matchday 25,2026-2027
Milford FC,Chippa United FC,,,UPCOMING,17/04/2027,21920132,Matchday 25,2026-2027
Kaizer Chiefs,Marumo Gallants,,,UPCOMING,17/04/2027,21920206,Matchday 25,2026-2027
Stellenbosch,Golden Arrows,,,UPCOMING,17/04/2027,21920221,Matchday 25,2026-2027
Siwelele FC,Mamelodi Sundowns,,,UPCOMING,17/04/2027,21920081,Matchday 25,2026-2027
Kruger United,TS Galaxy,,,UPCOMING,18/04/2027,21920184,Matchday 25,2026-2027
AmaZulu FC,Richards Bay,,,UPCOMING,18/04/2027,21920183,Matchday 25,2026-2027
Orlando Pirates,Mamelodi Sundowns,,,UPCOMING,23/04/2027,21920128,Matchday 26,2026-2027
Chippa United FC,Polokwane City,,,UPCOMING,24/04/2027,21920045,Matchday 26,2026-2027
Golden Arrows,Sekhukhune United,,,UPCOMING,24/04/2027,21920235,Matchday 26,2026-2027
TS Galaxy,Stellenbosch,,,UPCOMING,24/04/2027,21920234,Matchday 26,2026-2027
Marumo Gallants,AmaZulu FC,,,UPCOMING,24/04/2027,21920147,Matchday 26,2026-2027
Richards Bay,Milford FC,,,UPCOMING,24/04/2027,21920161,Matchday 26,2026-2027
Siwelele FC,Kruger United,,,UPCOMING,24/04/2027,21920216,Matchday 26,2026-2027
Durban City FC,Kaizer Chiefs,,,UPCOMING,25/04/2027,21920140,Matchday 26,2026-2027
Kaizer Chiefs,Golden Arrows,,,UPCOMING,27/04/2027,21920197,Matchday 27,2026-2027
Stellenbosch,Orlando Pirates,,,UPCOMING,27/04/2027,21920233,Matchday 27,2026-2027
Marumo Gallants,Milford FC,,,UPCOMING,27/04/2027,21920125,Matchday 27,2026-2027
Mamelodi Sundowns,TS Galaxy,,,UPCOMING,28/04/2027,21920236,Matchday 27,2026-2027
Kruger United,Chippa United FC,,,UPCOMING,28/04/2027,21920211,Matchday 27,2026-2027
Polokwane City,Richards Bay,,,UPCOMING,28/04/2027,21920051,Matchday 27,2026-2027
AmaZulu FC,Sekhukhune United,,,UPCOMING,28/04/2027,21920076,Matchday 27,2026-2027
Durban City FC,Siwelele FC,,,UPCOMING,28/04/2027,21920182,Matchday 27,2026-2027
Chippa United FC,Stellenbosch,,,UPCOMING,08/05/2027,21920158,Matchday 28,2026-2027
Polokwane City,Mamelodi Sundowns,,,UPCOMING,08/05/2027,21920167,Matchday 28,2026-2027
Kaizer Chiefs,Kruger United,,,UPCOMING,08/05/2027,21920124,Matchday 28,2026-2027
Milford FC,Orlando Pirates,,,UPCOMING,08/05/2027,21920227,Matchday 28,2026-2027
Sekhukhune United,Richards Bay,,,UPCOMING,08/05/2027,21920205,Matchday 28,2026-2027
Siwelele FC,Marumo Gallants,,,UPCOMING,09/05/2027,21920181,Matchday 28,2026-2027
TS Galaxy,AmaZulu FC,,,UPCOMING,09/05/2027,21920208,Matchday 28,2026-2027
Golden Arrows,Durban City FC,,,UPCOMING,09/05/2027,21920130,Matchday 28,2026-2027
Kruger United,AmaZulu FC,,,UPCOMING,15/05/2027,21920074,Matchday 29,2026-2027
