home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Marumo Gallants,Orlando Pirates,2,0,FINISHED,01/03/2025,1557230,Matchday 8,2024-2025
Magesi,Stellenbosch,1,0,FINISHED,29/03/2025,1557152,Matchday 8,2024-2025
Richards Bay,Siwelele FC,0,1,FINISHED,06/12/2024,1557161,Matchday 9,2024-2025
TS Galaxy,AmaZulu FC,1,0,FINISHED,07/12/2024,1557159,Matchday 9,2024-2025
Marumo Gallants,Magesi,3,1,FINISHED,07/12/2024,1557160,Matchday 9,2024-2025
Stellenbosch,Royal AM,,,UPCOMING,07/12/2024,1557163,Matchday 9,2024-2025
Sekhukhune United,Cape Town City,1,0,FINISHED,07/12/2024,1557158,Matchday 9,2024-2025
Polokwane City,Kaizer Chiefs,2,0,FINISHED,08/12/2024,1557156,Matchday 9,2024-2025
Mamelodi Sundowns,Chippa United FC,3,0,FINISHED,07/05/2025,1557157,Matchday 9,2024-2025
Orlando Pirates,Golden Arrows,3,0,FINISHED,13/05/2025,1557162,Matchday 9,2024-2025
AmaZulu FC,Royal AM,2,1,FINISHED,13/12/2024,1557155,Matchday 10,2024-2025
Golden Arrows,Richards Bay,0,1,FINISHED,14/12/2024,1557153,Matchday 10,2024-2025
Chippa United FC,Cape Town City,0,1,FINISHED,14/12/2024,1557168,Matchday 10,2024-2025
Siwelele FC,Magesi,1,0,FINISHED,14/12/2024,1557150,Matchday 10,2024-2025
Polokwane City,Marumo Gallants,1,0,FINISHED,15/12/2024,1557149,Matchday 10,2024-2025
TS Galaxy,Kaizer Chiefs,1,1,FINISHED,16/12/2024,1557148,Matchday 10,2024-2025
Stellenbosch,Mamelodi Sundowns,0,1,FINISHED,18/12/2024,1557151,Matchday 10,2024-2025
Orlando Pirates,Sekhukhune United,0,1,FINISHED,30/04/2025,1557167,Matchday 10,2024-2025
Golden Arrows,Polokwane City,0,0,FINISHED,28/12/2024,1557146,Matchday 11,2024-2025
Richards Bay,Mamelodi Sundowns,0,2,FINISHED,28/12/2024,1557147,Matchday 11,2024-2025
Sekhukhune United,Marumo Gallants,1,0,FINISHED,28/12/2024,1557145,Matchday 11,2024-2025
Siwelele FC,Stellenbosch,1,1,FINISHED,28/12/2024,1557144,Matchday 11,2024-2025
Royal AM,TS Galaxy,1,3,FINISHED,29/12/2024,1557143,Matchday 11,2024-2025
Magesi,Orlando Pirates,0,1,FINISHED,29/12/2024,1557142,Matchday 11,2024-2025
Cape Town City,AmaZulu FC,0,1,FINISHED,29/12/2024,1557141,Matchday 11,2024-2025
